Close,High,Low,Open,Volume
122.10562896728516,125.74107316157699,122.04683722029289,123.47749371357585,357615000
123.35990142822266,123.62447923898972,120.6553689544933,122.56618294804414,278314500
124.79056549072266,125.87826519702006,122.32121480449642,123.63428039353802,327048100
127.83805847167969,129.88605065548245,124.51618285296753,125.25110956551973,457142800
130.43478393554688,131.9340331225664,126.61317129257968,127.68126111431651,354155800
137.14710998535156,137.18629949198788,130.66995624696648,130.728747982981,321267200
142.19361877441406,142.72275942044914,137.25491792030593,137.25491792030593,418559700
143.4478759765625,146.98532335676683,140.74335140956128,143.2715007655521,504249300
145.5742645263672,145.73105246266147,138.82273914794496,140.8609374634091,441563700
142.9285430908203,146.81875622786595,139.67526043679732,145.29011110691417,423324000
143.2029266357422,145.06473509135301,142.26221381522825,143.4185063456074,284559400
146.3223419189453,146.6560042822418,142.5931311672951,143.4763585935564,298082900
145.42929077148438,148.85426409102558,141.80803138044726,145.77276144755257,429361600
145.83164978027344,148.04954152919203,144.0946199514099,145.54704397395287,272129100
151.4254608154297,152.09278552213598,145.84146065541773,146.22419452532856,386647700
146.1947479248047,154.33030185400798,145.92977372713005,152.08297025387134,354897400
143.33897399902344,148.59912052075484,143.04455985172558,147.82384440824518,492884800
144.18295288085938,144.72270965382597,138.63821551421995,141.12108169534065,394033300
139.99253845214844,143.24088837462247,136.51849241335987,142.76001129240325,441421300
140.23785400390625,141.53327039526013,135.69411826796392,139.11909210888567,382910100
142.14170837402344,142.20058821172304,136.60677901236508,139.6195938205567,354098200
145.91998291015625,147.38221538017035,140.49300521079027,140.77759606869435,340691300
147.00929260253906,150.31650614165073,143.68244746206824,145.91014754429145,392740000
148.4617156982422,149.59028568959747,145.04655083506196,146.21438402888697,324080300
147.41055297851562,148.96338273445195,144.9437090957136,148.80613073467651,281799900
157.78895568847656,158.25087409630834,146.771732275085,147.78401772296047,462419300
154.11329650878906,162.8504123383324,153.67103827148128,158.89954109253142,359933200
159.0567626953125,167.37127895048422,155.0862469517167,156.62923917264587,669611100
176.3639373779297,176.54084965789616,161.45482256828808,161.46464519636115,569227700
168.19686889648438,178.9978769582921,166.77180785012712,178.0052365426157,769299200
173.2484588623047,173.80866359990947,164.58014684111745,165.38603725749348,359176900
174.51626586914062,178.21159826738395,174.02486456635614,174.04450982107562,340248100
169.20913696289062,179.79392610972857,168.08874249862777,174.77180377509876,481949000
170.0936737060547,174.13297848296915,165.27793138709583,166.17228546015124,422655700
159.61697387695312,169.57275401815377,159.50886499109,168.560468539789,400041100
167.40077209472656,167.42043234611594,152.03956234248125,157.26807948009716,688258600
169.42535400390625,173.2091503338255,166.59487747666526,167.23370821874946,458553300
165.95103454589844,173.83330968778262,165.36059553989367,170.10374784579912,412902000
164.6323699951172,170.57605434246898,163.54006857345092,164.70124602262675,362252300
162.22145080566406,164.0321081569431,149.576339760506,162.34936772782373,414293700
160.56825256347656,166.21673366959158,159.38738956646134,160.46000591284673,418671400
152.26280212402344,162.38873489848606,152.03647371376925,160.75520025033686,521334100
161.3653106689453,161.85733809568418,147.70663951320424,149.03510455610794,503123700
171.9340362548828,172.4851044775775,160.41074925385,160.90277659775353,446083700
171.5305938720703,176.74608743942125,169.1983887454629,169.42471715051926,465395100
167.3778839111328,175.64395356552203,166.5020757053073,171.78646039966782,393099200
162.6544189453125,168.5390777375964,162.4084052337266,166.01989973343453,297460200
159.21022033691406,168.79491954576383,158.92485105020066,161.30626187708233,376787700
155.13623046875,163.54990186297132,152.90243692342474,158.55090176556791,541697200
154.7721405029297,163.82544182128711,150.82608609013118,154.21123706497866,566928200
144.97702026367188,154.46739758161286,136.78751119260377,152.68362853930108,686227300
135.59503173828125,147.59843755569796,130.68724267872005,143.43962358166746,548244700
147.47032165527344,147.50973506608682,135.15156311337495,135.79213254253486,495921700
143.27207946777344,149.53986377274634,142.36542073655667,146.90857902249272,338923400
135.14170837402344,147.69697697780663,135.07271611079338,144.89815875267425,354267700
129.65248107910156,135.34867442264627,127.1690148863557,130.94348470353992,541168600
139.6060333251953,139.85240850117333,131.38696106358,131.4855021114428,315960300
136.91558837890625,141.40948365581977,131.8304168139898,140.6309297764946,373549800
144.90802001953125,145.41063501342293,134.94460708607554,135.77243912379487,278219600
147.99261474609375,148.67261252680902,140.05933236699042,143.55786230234537,366316600
151.8557891845703,154.01403798046638,144.57294009599124,148.5543710810127,360988700
160.15371704101562,161.257488076031,148.6135119986088,151.77696089761812,370548900
162.9525604248047,164.76587825585352,157.31549474509097,158.67547559960332,322415000
169.84027099609375,169.9093440404782,161.10646866238497,164.18549711919331,318771500
169.2678985595703,173.83709512259122,169.06064929269627,169.2678985595703,322647200
161.4716033935547,168.80405254539968,161.4123936253421,167.46190925165126,307194600
153.76412963867188,160.76103056364076,152.63909904574095,159.03400899195705,390399000
155.3036346435547,155.74773792597443,150.6752146890701,154.41545819557962,314117000
148.72125244140625,162.1032024139009,146.4218443622924,157.49452298026324,568337900
148.45480346679688,156.65570341811187,146.60936192506745,147.34951420866204,473543200
136.38540649414062,152.68850018254597,136.18803554127575,147.69494128871602,577537000
138.25057983398438,145.60275646886458,135.88209845443816,136.39527494143354,435940600
136.5630340576172,142.62241342006476,132.6056769187865,138.57624162215942,424188400
145.33628845214844,145.90867462024406,138.42820133562432,139.2177000177712,397216400
153.69505310058594,155.43193790631275,142.23749821829756,145.2573163168424,512851100
136.5630340576172,153.40889202509345,132.615555253197,151.14896703527498,510660400
147.9794464111328,148.28588106740983,133.04310993034602,135.53415097773754,461034600
